Date,Close
10/11/2018 16:00:00,93.92
10/12/2018 16:00:00,94.81
10/15/2018 16:00:00,93.82
10/16/2018 16:00:00,95.81
10/17/2018 16:00:00,96.56
10/18/2018 16:00:00,96.17
10/19/2018 16:00:00,97.15
10/22/2018 16:00:00,97.14
10/23/2018 16:00:00,97.8
10/24/2018 16:00:00,97.56
10/25/2018 16:00:00,99.18
10/26/2018 16:00:00,98.94
10/29/2018 16:00:00,99.8
10/30/2018 16:00:00,102.42
10/31/2018 16:00:00,100.28
11/1/2018 16:00:00,100.58
11/2/2018 16:00:00,101.34
11/5/2018 16:00:00,102.91
11/6/2018 16:00:00,103.33
11/7/2018 16:00:00,104.32
11/8/2018 16:00:00,104.88
11/9/2018 16:00:00,105.56
11/12/2018 16:00:00,103.87
11/13/2018 16:00:00,102.94
11/14/2018 16:00:00,101.53
11/15/2018 16:00:00,99.54
11/16/2018 16:00:00,97.69
11/19/2018 16:00:00,96.78
11/20/2018 16:00:00,94.16
11/21/2018 16:00:00,94.17
11/23/2018 13:00:00,95.1
11/26/2018 16:00:00,95.15
11/27/2018 16:00:00,95.04
11/28/2018 16:00:00,97.46
11/29/2018 16:00:00,97.29
11/30/2018 16:00:00,97.65
12/3/2018 16:00:00,98.75
12/4/2018 16:00:00,95.81
12/6/2018 16:00:00,94.77
12/7/2018 16:00:00,93.19
12/10/2018 16:00:00,93.94
12/11/2018 16:00:00,93.85
12/12/2018 16:00:00,93.11
12/13/2018 16:00:00,92.96
12/14/2018 16:00:00,91.85
12/17/2018 16:00:00,90.77
12/18/2018 16:00:00,91.08
12/19/2018 16:00:00,90.55
12/20/2018 16:00:00,87.28
12/21/2018 16:00:00,87.13
12/24/2018 13:00:00,85.82
12/26/2018 16:00:00,90.41
12/27/2018 16:00:00,91.59
12/28/2018 16:00:00,92.13
12/31/2018 16:00:00,93.15
1/2/2019 16:00:00,93.34
1/3/2019 16:00:00,92.86
1/4/2019 16:00:00,93.44
1/7/2019 16:00:00,94.54
1/8/2019 16:00:00,95.2
1/9/2019 16:00:00,94.89
1/10/2019 16:00:00,94.96
1/11/2019 16:00:00,94.84
1/14/2019 16:00:00,94.95
1/15/2019 16:00:00,96.25
1/16/2019 16:00:00,96.35
1/17/2019 16:00:00,96.74
1/18/2019 16:00:00,97.73
1/22/2019 16:00:00,97.49
1/23/2019 16:00:00,98.71
1/24/2019 16:00:00,98.36
1/25/2019 16:00:00,96.94
1/28/2019 16:00:00,97.06
1/29/2019 16:00:00,96.71
1/30/2019 16:00:00,94.8
1/31/2019 16:00:00,95.83
2/1/2019 16:00:00,93.86
2/4/2019 16:00:00,94.77
2/5/2019 16:00:00,95.6
2/6/2019 16:00:00,95.64
2/7/2019 16:00:00,96.73
2/8/2019 16:00:00,95.58
2/11/2019 16:00:00,96.2
2/12/2019 16:00:00,96.97
2/13/2019 16:00:00,97.94
2/14/2019 16:00:00,98.52
2/15/2019 16:00:00,99.99
2/19/2019 16:00:00,102.2
2/20/2019 16:00:00,99.88
2/21/2019 16:00:00,99.39
2/22/2019 16:00:00,99.55
2/25/2019 16:00:00,99.12
2/26/2019 16:00:00,98.69
2/27/2019 16:00:00,98.11
2/28/2019 16:00:00,98.99
3/1/2019 16:00:00,97.93
3/4/2019 16:00:00,97.85
3/5/2019 16:00:00,98.34
3/6/2019 16:00:00,98.26
3/7/2019 16:00:00,97.45
3/8/2019 16:00:00,97.59
3/11/2019 16:00:00,98.48
3/12/2019 16:00:00,98.37
3/13/2019 16:00:00,99.03
3/14/2019 16:00:00,98.22
3/15/2019 16:00:00,98.42
3/18/2019 16:00:00,99.66
3/19/2019 16:00:00,99.85
3/20/2019 16:00:00,98.64
3/21/2019 16:00:00,99.06
3/22/2019 16:00:00,98.28
3/25/2019 16:00:00,98.17
3/26/2019 16:00:00,98.32
3/27/2019 16:00:00,97.21
3/28/2019 16:00:00,97.13
